,City,Country,Lat,Lng,Hotel Name
387,praia da vitoria,PT,38.7333,-27.0667,
388,kirensk,RU,57.7853,108.1119,
389,auxerre,FR,47.8,3.5667,
390,moose factory,CA,51.2585,-80.6094,
391,saint-pierre,RE,-21.3393,55.4781,
392,souillac,MU,-20.5167,57.5167,
393,paciran,ID,-6.8767,112.3761,
394,kazerun,IR,29.6195,51.6541,
395,south yuba city,US,39.1166,-121.6391,
396,vila velha,BR,-20.3297,-40.2925,
397,port macquarie,AU,-31.4333,152.9167,
398,terrace bay,CA,48.7834,-87.1,
399,mykolayivka,UA,47.5414,30.7561,
400,balakhninskiy,RU,58.0106,114.2769,
401,lata,PT,40.1629,-8.3327,
402,treinta y tres,UY,-33.2333,-54.3833,
403,rudnya,RU,54.946999999999996,31.0934,
404,naze,JP,28.3667,129.4833,
405,novo aripuana,BR,-5.1206,-60.3797,
406,carbonear,CA,47.7332,-53.2148,
407,ialibu,PG,-6.2821,143.9935,
408,guilin,CN,25.2819,110.2864,
409,pangody,RU,65.85,74.4859,
410,kismayo,SO,-0.3582,42.5454,
411,begowal,IN,31.6167,75.5167,
412,semey,KZ,50.4111,80.2275,
413,diu,IN,20.7141,70.9822,
414,patan,NP,27.6667,85.3333,
415,elizabeth city,US,36.2946,-76.2511,
416,acari,PE,-15.4311,-74.6158,
417,ocho rios,JM,18.4025,-77.1048,
418,mutis,CO,6.2262,-77.4044,
419,niamey,NE,13.5137,2.1098,
420,baruun-urt,MN,46.6806,113.2792,
421,mount pleasant,US,32.7941,-79.8626,
422,mindelo,CV,16.8901,-24.9804,
423,maldonado,UY,-34.6667,-54.9167,
424,mareeba,AU,-17.0,145.4333,
425,oil city,US,41.4339,-79.7064,
426,nokia,FI,61.4667,23.5,
427,anito,PH,12.4497,125.2886,
428,basco,PH,20.4487,121.9702,
429,haines junction,CA,60.7522,-137.5108,
430,baripada,IN,21.935,86.7214,
431,fonte boa,BR,-2.4959,-66.2662,
432,yelizovo,RU,53.1873,158.3805,
433,saldanha,ZA,-33.0117,17.9442,
434,salalah,OM,17.0151,54.0924,
435,kerouane,GN,9.2667,-9.0167,
436,axim,GH,4.8699,-2.2405,
437,palmas,BR,-10.2128,-48.3603,
438,paamiut,GL,61.994,-49.6678,
439,haapiti,PF,-17.5667,-149.8667,
440,trussville,US,33.6198,-86.6089,
441,miguel hidalgo,MX,19.4225,-99.2028,
442,newport,GB,51.5877,-2.9984,
443,ketchikan,US,55.3422,-131.6461,
444,sao joao da barra,BR,-21.6403,-41.0511,
445,mendi,PG,-6.1761,143.6513,
446,ajdovscina,SI,45.886,13.9095,
447,warrnambool,AU,-38.3833,142.4833,
448,arai,JP,37.0167,138.25,
449,stity,CZ,49.9612,16.7658,
450,adrar,MR,20.5022,-10.0711,
451,tazovskiy,RU,67.4667,78.7,
452,salinopolis,BR,-0.6136,-47.3561,
453,miri,MY,4.4148,114.0089,
454,goure,NE,13.9835,10.2704,
455,kahului,US,20.8947,-156.47,
456,kloulklubed,PW,7.0419,134.2556,
457,makinsk,KZ,52.6292,70.4169,
458,gornopravdinsk,RU,60.05,69.9,
459,rach gia,VN,10.0167,105.0833,
460,kaputa,ZM,-8.4689,29.6619,
461,qeshm,IR,26.9581,56.2719,
462,flinders,AU,-34.5833,150.8552,
463,nasturelu,RO,43.6667,25.4667,
464,jerantut,MY,3.9360000000000004,102.3626,
465,cayenne,GF,4.9333,-52.3333,
466,taoudenni,ML,22.6783,-3.9836,
467,isangel,VU,-19.55,169.2667,
468,isla vista,US,34.4133,-119.861,
469,bloemfontein,ZA,-29.1211,26.214000000000002,
470,poddorye,RU,57.4695,31.1156,
471,ballina,AU,-28.8667,153.5667,
472,iqaluit,CA,63.7506,-68.5145,
473,wucheng,CN,29.6008,118.175,
474,bayana,IN,26.9,77.2833,
475,soka,JP,35.8203,139.8044,
476,kamenka,RU,51.3223,42.7678,
477,nisia floresta,BR,-6.0911,-35.2086,
478,aksarka,RU,66.5606,67.7975,
479,walvis bay,,-22.9575,14.5053,
480,santiago del estero,AR,-27.7951,-64.2615,
481,ambon,ID,-3.6954,128.1814,
482,alofi,NU,-19.0595,-169.9187,
483,nome,US,64.5011,-165.4064,
484,kedrovyy,RU,56.1667,91.8167,
485,sistranda,NO,63.7256,8.834,
486,udachnyy,RU,66.4167,112.4,
487,romans-sur-isere,FR,45.0464,5.0562,
488,susuman,RU,62.7833,148.1667,
489,matay,EG,28.419,30.7792,
490,riyadh,SA,24.6877,46.7219,
491,predesti,RO,44.35,23.6,
492,nagato,JP,34.3833,131.2,
493,portland,US,45.5234,-122.6762,
494,high level,CA,58.5169,-117.13600000000001,
495,saraland,US,30.8207,-88.0706,
496,korla,CN,41.7597,86.1469,
497,lock haven,US,41.137,-77.4469,
498,sheboygan,US,43.7333,-87.9334,
499,matamoros,MX,25.5333,-103.25,
500,namtsy,RU,62.7161,129.6658,
501,ixtapa,MX,20.7,-105.2,
502,haicheng,CN,40.8516,122.7475,
503,humberto de campos,BR,-2.5983,-43.4611,
504,scalea,IT,39.813,15.7956,
505,vanimo,PG,-2.6741,141.3028,
506,paracatu,BR,-17.2222,-46.8747,
507,whitehorse,CA,60.7161,-135.0538,
508,raufoss,NO,60.7264,10.6172,
509,casillas,GT,14.4222,-90.2442,
510,una,IN,20.8167,71.0333,
511,pozo colorado,PY,-23.4923,-58.7972,
512,halifax,CA,44.6453,-63.5724,
513,vila franca do campo,PT,37.7167,-25.4333,
514,shakawe,BW,-18.3667,21.85,
515,kusa,RU,55.3383,59.4406,
516,palaikastron,GR,35.2,26.25,
517,sarana,RU,56.4773,57.7259,
518,dandong,CN,40.1292,124.3947,
519,port lincoln,AU,-34.7333,135.8667,
520,christchurch,NZ,-43.5333,172.6333,
521,zigos,GR,41.0167,24.3833,
522,opotiki,NZ,-38.0833,177.2833,
523,boden,SE,65.8252,21.6886,
524,eyl,SO,7.9803,49.8164,
525,baherden,TM,38.4362,57.4316,
526,san vicente,AR,-26.6167,-54.1333,
527,grand island,US,40.925,-98.34200000000001,
528,chicama,PE,-7.8447,-79.1469,
529,mwinilunga,ZM,-11.7358,24.4293,
530,vikindu,TZ,-7.0067,39.2985,
531,kjopsvik,NO,68.097,16.3742,
532,college,US,64.8569,-147.8028,
533,liverpool,GB,53.4106,-2.9779,
534,khoy,IR,38.5504,44.9535,
535,saint-francois,FR,46.4154,3.9054,
536,kendari,ID,-3.945,122.4989,
537,merauke,ID,-8.4667,140.3333,
538,honiara,SB,-9.4333,159.95,
539,ponta delgada,PT,37.7333,-25.6667,
540,basoko,CD,1.2391,23.616,
541,liwale,TZ,-9.7667,37.9333,
542,coihaique,CL,-45.5752,-72.0662,
543,coahuayana,MX,18.7333,-103.6833,
544,solnechnyy,RU,50.7214,136.6319,
545,conceicao do araguaia,BR,-8.2578,-49.2647,
546,ikalamavony,MG,-21.15,46.5833,
547,tongliao,CN,43.6125,122.2653,
548,cap-aux-meules,CA,47.3821,-61.8597,
549,chara,RU,56.9064,118.2631,
550,north platte,US,41.1239,-100.7654,
551,gimli,CA,50.6336,-96.9907,
552,proddatur,IN,14.7333,78.55,
553,maarianhamina,AX,60.0973,19.9348,
554,west bay,KY,19.3667,-81.4167,
555,nishihara,JP,26.1842,127.7558,
556,chumphon,TH,10.3333,98.8333,
557,marataizes,BR,-21.0433,-40.8244,
558,panacan,PH,9.2463,118.4082,
559,mumbwa,ZM,-14.9783,27.0619,
560,stornoway,GB,58.2093,-6.3865,
561,griffith,US,41.5284,-87.4237,
562,tambo,PE,-14.8,-73.9167,
563,keflavik,IS,64.0049,-22.5624,
564,nouadhibou,MR,20.930999999999997,-17.0347,
565,acarau,BR,-2.8856,-40.12,
566,turan,VN,16.0678,108.2208,
567,don benito,ES,38.9563,-5.8616,
568,yarim,YE,14.298,44.3779,
569,umm lajj,SA,25.0213,37.2685,
570,agadir,MA,30.4202,-9.5982,
571,tura,IN,25.5198,90.2201,
572,oksfjord,NO,70.2396,22.3479,
573,kiama,AU,-34.6833,150.8667,
574,sakakah,SA,29.9697,40.2064,
575,corridonia,IT,43.2511,13.5088,
576,fairbanks,US,64.8378,-147.7164,
577,wuchang,CN,44.9143,127.15,
578,nanakuli,US,21.3906,-158.1547,
579,rancho palos verdes,US,33.7445,-118.387,
580,havre-saint-pierre,CA,50.2334,-63.5986,
581,lensk,RU,60.7253,114.9278,
582,gorontalo,ID,0.5412,123.0595,
583,channarayapatna,IN,12.9044,76.3917,
584,grand baie,MU,-20.0182,57.5802,
585,inhambane,MZ,-23.865,35.3833,
586,camopi,GF,3.1655,-52.3158,
587,kodinsk,RU,58.6881,99.1844,
588,belawan,ID,3.7755,98.6832,
589,shimoda,JP,34.6667,138.95,
